Time	[AKT_mod_slash_PIP3_AKT_thr308]	[BDNF]	[CaMKIII_star]	[Ca]	[MAPK_star]	[protein]
38	5.78676e-05	5e-05	0.00694908	0.08	4.62332e-11	2.48094e-06
39	6.06784e-05	5e-05	0.0069911	0.08	6.29945e-11	2.49041e-06
40	6.35211e-05	5e-05	0.00703179	0.08	8.4904e-11	2.49899e-06
41	6.63948e-05	5e-05	0.00707128	0.08	1.13266e-10	2.50675e-06
42	6.9299e-05	5e-05	0.00710973	0.08	1.49648e-10	2.51378e-06
43	7.2233e-05	5e-05	0.00714725	0.08	1.95915e-10	2.52013e-06
44	7.51964e-05	5e-05	0.00718396	0.08	2.54278e-10	2.52589e-06
45	7.81889e-05	5e-05	0.00721997	0.08	3.2734e-10	2.5311e-06
46	8.12102e-05	5e-05	0.00725536	0.08	4.1814e-10	2.53581e-06
47	8.42601e-05	5e-05	0.00729023	0.08	5.30204e-10	2.54008e-06
48	8.73386e-05	5e-05	0.00732465	0.08	6.67607e-10	2.54394e-06
49	9.04455e-05	5e-05	0.0073587	0.08	8.35032e-10	2.54744e-06
50	9.3581e-05	5e-05	0.00739244	0.08	1.03784e-09	2.55061e-06
51	9.67452e-05	5e-05	0.00742594	0.08	1.28214e-09	2.55347e-06
52	9.9938e-05	5e-05	0.00745923	0.08	1.57481e-09	2.55607e-06
53	0.00010316	5e-05	0.00749238	0.08	1.92364e-09	2.55841e-06
54	0.000106411	5e-05	0.00752542	0.08	2.33738e-09	2.56054e-06
55	0.000109691	5e-05	0.00755839	0.08	2.82585e-09	2.56246e-06
56	0.000113001	5e-05	0.00759133	0.08	3.39997e-09	2.56421e-06
57	0.00011634	5e-05	0.00762427	0.08	4.0719e-09	2.56579e-06
58	0.00011971	5e-05	0.00765724	0.08	4.85508e-09	2.56722e-06
59	0.000123111	5e-05	0.00769026	0.08	5.76435e-09	2.56851e-06
60	0.000126542	5e-05	0.00772335	0.08	6.81601e-09	2.56969e-06
61	0.000130005	5e-05	0.00775654	0.08	8.028e-09	2.57075e-06
62	0.000133499	5e-05	0.00778983	0.08	9.41988e-09	2.57172e-06
63	0.000137026	5e-05	0.00782325	0.08	1.1013e-08	2.5726e-06
64	0.000140585	5e-05	0.0078568	0.08	1.28307e-08	2.57339e-06
65	0.000144177	5e-05	0.0078905	0.08	1.48982e-08	2.57411e-06
66	0.000147803	5e-05	0.00792435	0.08	1.72427e-08	2.57477e-06
67	0.000151462	5e-05	0.00795837	0.08	1.98939e-08	2.57536e-06
68	0.000155156	5e-05	0.00799256	0.08	2.28835e-08	2.57591e-06
69	0.000158884	5e-05	0.00802692	0.08	2.62458e-08	2.5764e-06
70	0.000162648	5e-05	0.00806145	0.08	3.00175e-08	2.57685e-06
71	0.000166448	5e-05	0.00809617	0.08	3.42379e-08	2.57726e-06
72	0.000170283	5e-05	0.00813108	0.08	3.89492e-08	2.57763e-06
73	0.000174156	5e-05	0.00816616	0.08	4.41961e-08	2.57798e-06
74	0.000178065	5e-05	0.00820143	0.08	5.00264e-08	2.57829e-06
75	0.000182013	5e-05	0.00823688	0.08	5.64911e-08	2.57858e-06
76	0.000185998	5e-05	0.00827251	0.08	6.36439e-08	2.57884e-06
77	0.000190022	5e-05	0.00830832	0.08	7.15422e-08	2.57909e-06
78	0.000194085	5e-05	0.00834431	0.08	8.02464e-08	2.57931e-06
79	0.000198188	5e-05	0.00838048	0.08	8.98204e-08	2.57952e-06
80	0.000202331	5e-05	0.00841681	0.08	1.00332e-07	2.57971e-06
81	0.000206514	5e-05	0.00845332	0.08	1.11851e-07	2.57989e-06
82	0.000210738	5e-05	0.00848999	0.08	1.24453e-07	2.58006e-06
83	0.000215004	5e-05	0.00852682	0.08	1.38217e-07	2.58022e-06
84	0.000219313	5e-05	0.00856381	0.08	1.53225e-07	2.58037e-06
85	0.000223663	5e-05	0.00860095	0.08	1.69562e-07	2.58051e-06
86	0.000228057	5e-05	0.00863824	0.08	1.8732e-07	2.58064e-06
87	0.000232494	5e-05	0.00867567	0.08	2.06593e-07	2.58077e-06
88	0.000236975	5e-05	0.00871324	0.08	2.27479e-07	2.58089e-06
89	0.0002415	5e-05	0.00875095	0.08	2.50081e-07	2.58101e-06
90	0.00024607	5e-05	0.00878878	0.08	2.74506e-07	2.58112e-06
91	0.000250686	5e-05	0.00882674	0.08	3.00866e-07	2.58123e-06
92	0.000255347	5e-05	0.00886482	0.08	3.29276e-07	2.58133e-06
93	0.000260054	5e-05	0.00890301	0.08	3.59857e-07	2.58144e-06
94	0.000264809	5e-05	0.00894131	0.08	3.92733e-07	2.58154e-06
95	0.00026961	5e-05	0.00897971	0.08	4.28034e-07	2.58164e-06
96	0.000274459	5e-05	0.00901822	0.08	4.65895e-07	2.58174e-06
97	0.000279356	5e-05	0.00905681	0.08	5.06452e-07	2.58184e-06
98	0.000284301	5e-05	0.0090955	0.08	5.49851e-07	2.58194e-06
99	0.000289295	5e-05	0.00913427	0.08	5.96238e-07	2.58204e-06
100	0.000294338	5e-05	0.00917312	0.08	6.45767e-07	2.58214e-06
101	0.000299431	5e-05	0.00921204	0.08	6.98596e-07	2.58225e-06
102	0.000304574	5e-05	0.00925104	0.08	7.54885e-07	2.58235e-06
103	0.000309768	5e-05	0.0092901	0.08	8.14803e-07	2.58245e-06
104	0.000315012	5e-05	0.00932922	0.08	8.78521e-07	2.58255e-06
105	0.000320308	5e-05	0.00936839	0.08	9.46215e-07	2.58266e-06
106	0.000325655	5e-05	0.00940762	0.08	1.01807e-06	2.58277e-06
107	0.000331054	5e-05	0.0094469	0.08	1.09427e-06	2.58288e-06
108	0.000336506	5e-05	0.00948622	0.08	1.175e-06	2.58299e-06
109	0.00034201	5e-05	0.00952557	0.08	1.26046e-06	2.5831e-06
110	0.000347567	5e-05	0.00956496	0.08	1.35086e-06	2.58322e-06
111	0.000353178	5e-05	0.00960439	0.08	1.44639e-06	2.58334e-06
112	0.000358842	5e-05	0.00964384	0.08	1.54727e-06	2.58346e-06
113	0.000364561	5e-05	0.00968331	0.08	1.65371e-06	2.58358e-06
114	0.000370334	5e-05	0.0097228	0.08	1.76593e-06	2.5837e-06
115	0.000376161	5e-05	0.00976231	0.08	1.88416e-06	2.58383e-06
116	0.000382044	5e-05	0.00980182	0.08	2.00862e-06	2.58396e-06
117	0.000387982	5e-05	0.00984135	0.08	2.13955e-06	2.5841e-06
118	0.000393975	5e-05	0.00988088	0.08	2.27718e-06	2.58424e-06
119	0.000400024	5e-05	0.00992042	0.08	2.42176e-06	2.58438e-06
120	0.00040613	5e-05	0.00995995	0.08	2.57353e-06	2.58452e-06
121	0.000412292	5e-05	0.00999948	0.08	2.73275e-06	2.58467e-06
122	0.00041851	5e-05	0.010039	0.08	2.89966e-06	2.58482e-06
123	0.000424785	5e-05	0.0100785	0.08	3.07453e-06	2.58497e-06
124	0.000431118	5e-05	0.010118	0.08	3.25763e-06	2.58513e-06
125	0.000437507	5e-05	0.0101575	0.08	3.44922e-06	2.58529e-06
126	0.000443954	5e-05	0.0101969	0.08	3.64956e-06	2.58545e-06
127	0.000450459	5e-05	0.0102364	0.08	3.85895e-06	2.58562e-06
128	0.000457022	5e-05	0.0102758	0.08	4.07765e-06	2.58579e-06
129	0.000463643	5e-05	0.0103152	0.08	4.30595e-06	2.58597e-06
130	0.000470323	5e-05	0.0103545	0.08	4.54414e-06	2.58615e-06
131	0.00047706	5e-05	0.0103939	0.08	4.79251e-06	2.58633e-06
132	0.000483857	5e-05	0.0104331	0.08	5.05135e-06	2.58651e-06
133	0.000490712	5e-05	0.0104724	0.08	5.32097e-06	2.58671e-06
134	0.000497626	5e-05	0.0105116	0.08	5.60165e-06	2.5869e-06
135	0.000504599	5e-05	0.0105508	0.08	5.89372e-06	2.5871e-06
136	0.000511632	5e-05	0.0105899	0.08	6.19746e-06	2.5873e-06
137	0.000518724	5e-05	0.010629	0.08	6.51321e-06	2.58751e-06
138	0.000525875	5e-05	0.0106681	0.08	6.84126e-06	2.58772e-06
139	0.000533085	5e-05	0.0107071	0.08	7.18195e-06	2.58793e-06
140	0.000540355	5e-05	0.010746	0.08	7.53558e-06	2.58815e-06
141	0.000547685	5e-05	0.0107849	0.08	7.90248e-06	2.58837e-06
142	0.000555074	5e-05	0.0108237	0.08	8.28298e-06	2.5886e-06
143	0.000562524	5e-05	0.0108625	0.08	8.6774e-06	2.58883e-06
144	0.000570033	5e-05	0.0109013	0.08	9.08607e-06	2.58906e-06
145	0.000577601	5e-05	0.0109399	0.08	9.50933e-06	2.5893e-06
146	0.00058523	5e-05	0.0109785	0.08	9.94751e-06	2.58955e-06
147	0.000592918	5e-05	0.0110171	0.08	1.04009e-05	2.58979e-06
148	0.000600667	5e-05	0.0110556	0.08	1.087e-05	2.59005e-06
149	0.000608475	5e-05	0.011094	0.08	1.1355e-05	2.5903e-06
150	0.000616343	5e-05	0.0111324	0.08	1.18562e-05	2.59056e-06
151	0.000624271	5e-05	0.0111707	0.08	1.23741e-05	2.59083e-06
152	0.000632258	5e-05	0.0112089	0.08	1.2909e-05	2.5911e-06
153	0.000640306	5e-05	0.0112471	0.08	1.34611e-05	2.59137e-06
154	0.000648413	5e-05	0.0112852	0.08	1.4031e-05	2.59165e-06
155	0.000656579	5e-05	0.0113232	0.08	1.46188e-05	2.59194e-06
156	0.000664805	5e-05	0.0113612	0.08	1.52251e-05	2.59222e-06
157	0.000673091	5e-05	0.0113991	0.08	1.585e-05	2.59252e-06
158	0.000681436	5e-05	0.0114369	0.08	1.64941e-05	2.59281e-06
159	0.00068984	5e-05	0.0114746	0.08	1.71575e-05	2.59312e-06
160	0.000698303	5e-05	0.0115123	0.08	1.78408e-05	2.59342e-06
161	0.000706826	5e-05	0.0115499	0.08	1.85442e-05	2.59373e-06
162	0.000715407	5e-05	0.0115874	0.08	1.92681e-05	2.59405e-06
163	0.000724047	5e-05	0.0116248	0.08	2.00128e-05	2.59437e-06
164	0.000732745	5e-05	0.0116622	0.08	2.07788e-05	2.5947e-06
165	0.000741502	5e-05	0.0116995	0.08	2.15663e-05	2.59503e-06
166	0.000750318	5e-05	0.0117367	0.08	2.23758e-05	2.59536e-06
167	0.000759191	5e-05	0.0117738	0.08	2.32076e-05	2.5957e-06
168	0.000768122	5e-05	0.0118109	0.08	2.40619e-05	2.59604e-06
169	0.000777111	5e-05	0.0118479	0.08	2.49393e-05	2.59639e-06
170	0.000786158	5e-05	0.0118848	0.08	2.58401e-05	2.59675e-06
171	0.000795261	5e-05	0.0119216	0.08	2.67645e-05	2.59711e-06
172	0.000804422	5e-05	0.0119583	0.08	2.77131e-05	2.59747e-06
173	0.00081364	5e-05	0.0119949	0.08	2.8686e-05	2.59784e-06
174	0.000822914	5e-05	0.0120315	0.08	2.96837e-05	2.59821e-06
175	0.000832245	5e-05	0.012068	0.08	3.07066e-05	2.59859e-06
176	0.000841632	5e-05	0.0121044	0.08	3.17549e-05	2.59897e-06
177	0.000851074	5e-05	0.0121407	0.08	3.28291e-05	2.59936e-06
178	0.000860573	5e-05	0.012177	0.08	3.39295e-05	2.59976e-06
179	0.000870126	5e-05	0.0122131	0.08	3.50564e-05	2.60015e-06
180	0.000879735	5e-05	0.0122492	0.08	3.62102e-05	2.60056e-06
181	0.000889398	5e-05	0.0122852	0.08	3.73912e-05	2.60096e-06
182	0.000899116	5e-05	0.0123211	0.08	3.85998e-05	2.60138e-06
183	0.000908888	5e-05	0.0123569	0.08	3.98363e-05	2.60179e-06
184	0.000918713	5e-05	0.0123927	0.08	4.11011e-05	2.60222e-06
185	0.000928593	5e-05	0.0124283	0.08	4.23945e-05	2.60265e-06
186	0.000938525	5e-05	0.0124639	0.08	4.37168e-05	2.60308e-06
187	0.00094851	5e-05	0.0124994	0.08	4.50684e-05	2.60352e-06
188	0.000958548	5e-05	0.0125348	0.08	4.64497e-05	2.60396e-06
189	0.000968638	5e-05	0.0125701	0.08	4.78608e-05	2.60441e-06
190	0.000978779	5e-05	0.0126054	0.08	4.93023e-05	2.60486e-06
191	0.000988972	5e-05	0.0126405	0.08	5.07743e-05	2.60532e-06
192	0.000999216	5e-05	0.0126756	0.08	5.22773e-05	2.60578e-06
193	0.00100951	5e-05	0.0127105	0.08	5.38115e-05	2.60625e-06
194	0.00101986	5e-05	0.0127454	0.08	5.53774e-05	2.60672e-06
195	0.00103025	5e-05	0.0127803	0.08	5.69751e-05	2.6072e-06
196	0.0010407	5e-05	0.012815	0.08	5.8605e-05	2.60769e-06
197	0.00105119	5e-05	0.0128496	0.08	6.02675e-05	2.60818e-06
198	0.00106173	5e-05	0.0128842	0.08	6.19627e-05	2.60867e-06
199	0.00107232	5e-05	0.0129187	0.08	6.36912e-05	2.60917e-06
200	0.00108296	5e-05	0.012953	0.08	6.5453e-05	2.60967e-06
201	0.00109365	5e-05	0.0129874	0.08	6.72487e-05	2.61018e-06
202	0.00110438	5e-05	0.0130216	0.08	6.90784e-05	2.6107e-06
203	0.00111516	5e-05	0.0130557	0.08	7.09424e-05	2.61122e-06
204	0.00112598	5e-05	0.0130898	0.08	7.28411e-05	2.61174e-06
205	0.00113686	5e-05	0.0131237	0.08	7.47747e-05	2.61227e-06
206	0.00114777	5e-05	0.0131576	0.08	7.67435e-05	2.61281e-06
207	0.00115873	5e-05	0.0131914	0.08	7.87478e-05	2.61335e-06
208	0.00116974	5e-05	0.0132251	0.08	8.07879e-05	2.61389e-06
209	0.00118079	5e-05	0.0132588	0.08	8.2864e-05	2.61444e-06
210	0.00119188	5e-05	0.0132923	0.08	8.49765e-05	2.615e-06
211	0.00120302	5e-05	0.0133258	0.08	8.71256e-05	2.61556e-06
212	0.0012142	5e-05	0.0133592	0.08	8.93116e-05	2.61612e-06
213	0.00122542	5e-05	0.0133925	0.08	9.15346e-05	2.6167e-06
214	0.00123668	5e-05	0.0134257	0.08	9.37951e-05	2.61727e-06
215	0.00124798	5e-05	0.0134589	0.08	9.60932e-05	2.61785e-06
216	0.00125933	5e-05	0.0134919	0.08	9.84292e-05	2.61844e-06
217	0.00127071	5e-05	0.0135249	0.08	0.000100803	2.61903e-06
218	0.00128214	5e-05	0.0135578	0.08	0.000103216	2.61963e-06
219	0.0012936	5e-05	0.0135906	0.08	0.000105667	2.62023e-06
220	0.0013051	5e-05	0.0136233	0.08	0.000108157	2.62084e-06
221	0.00131664	5e-05	0.013656	0.08	0.000110686	2.62145e-06
222	0.00132822	5e-05	0.0136886	0.08	0.000113255	2.62207e-06
223	0.00133983	5e-05	0.013721	0.08	0.000115863	2.62269e-06
224	0.00135148	5e-05	0.0137535	0.08	0.000118511	2.62332e-06
225	0.00136317	5e-05	0.0137858	0.08	0.000121198	2.62395e-06
226	0.00137489	5e-05	0.013818	0.08	0.000123926	2.62459e-06
227	0.00138665	5e-05	0.0138502	0.08	0.000126695	2.62524e-06
228	0.00139844	5e-05	0.0138823	0.08	0.000129504	2.62588e-06
229	0.00141027	5e-05	0.0139143	0.08	0.000132354	2.62654e-06
230	0.00142213	5e-05	0.0139463	0.08	0.000135244	2.6272e-06
231	0.00143402	5e-05	0.0139781	0.08	0.000138176	2.62786e-06
232	0.00144594	5e-05	0.0140099	0.08	0.00014115	2.62853e-06
233	0.0014579	5e-05	0.0140416	0.08	0.000144165	2.62921e-06
234	0.00146989	5e-05	0.0140732	0.08	0.000147222	2.62989e-06
235	0.00148191	5e-05	0.0141048	0.08	0.000150321	2.63057e-06
236	0.00149396	5e-05	0.0141362	0.08	0.000153461	2.63126e-06
237	0.00150603	5e-05	0.0141676	0.08	0.000156645	2.63196e-06
238	0.00151814	5e-05	0.014199	0.08	0.00015987	2.63266e-06
239	0.00153028	5e-05	0.0142302	0.08	0.000163138	2.63336e-06
240	0.00154244	5e-05	0.0142614	0.08	0.000166449	2.63407e-06
241	0.00155464	5e-05	0.0142925	0.08	0.000169803	2.63479e-06
242	0.00156686	5e-05	0.0143235	0.08	0.0001732	2.63551e-06
243	0.0015791	5e-05	0.0143544	0.08	0.00017664	2.63624e-06
244	0.00159138	5e-05	0.0143853	0.08	0.000180123	2.63697e-06
245	0.00160367	5e-05	0.0144161	0.08	0.00018365	2.63771e-06
246	0.001616	5e-05	0.0144468	0.08	0.000187221	2.63845e-06
247	0.00162834	5e-05	0.0144775	0.08	0.000190835	2.63919e-06
248	0.00164071	5e-05	0.014508	0.08	0.000194493	2.63995e-06
249	0.00165311	5e-05	0.0145385	0.08	0.000198195	2.6407e-06
250	0.00166552	5e-05	0.014569	0.08	0.000201941	2.64146e-06
251	0.00167796	5e-05	0.0145993	0.08	0.000205731	2.64223e-06
252	0.00169042	5e-05	0.0146296	0.08	0.000209566	2.643e-06
253	0.00170291	5e-05	0.0146598	0.08	0.000213444	2.64378e-06
254	0.00171541	5e-05	0.01469	0.08	0.000217368	2.64456e-06
255	0.00172793	5e-05	0.0147201	0.08	0.000221336	2.64535e-06
256	0.00174047	5e-05	0.0147501	0.08	0.000225348	2.64614e-06
257	0.00175303	5e-05	0.01478	0.08	0.000229405	2.64694e-06
258	0.00176561	5e-05	0.0148099	0.08	0.000233507	2.64774e-06
259	0.00177821	5e-05	0.0148396	0.08	0.000237654	2.64855e-06
260	0.00179083	5e-05	0.0148694	0.08	0.000241846	2.64936e-06
261	0.00180346	5e-05	0.014899	0.08	0.000246083	2.65018e-06
262	0.00181611	5e-05	0.0149286	0.08	0.000250365	2.651e-06
263	0.00182877	5e-05	0.0149581	0.08	0.000254692	2.65183e-06
264	0.00184145	5e-05	0.0149876	0.08	0.000259065	2.65266e-06
265	0.00185414	5e-05	0.015017	0.08	0.000263482	2.6535e-06
266	0.00186685	5e-05	0.0150463	0.08	0.000267945	2.65434e-06
267	0.00187957	5e-05	0.0150755	0.08	0.000272453	2.65519e-06
268	0.00189231	5e-05	0.0151047	0.08	0.000277007	2.65604e-06
269	0.00190505	5e-05	0.0151338	0.08	0.000281606	2.6569e-06
270	0.00191781	5e-05	0.0151629	0.08	0.00028625	2.65776e-06
271	0.00193058	5e-05	0.0151919	0.08	0.00029094	2.65863e-06
272	0.00194337	5e-05	0.0152208	0.08	0.000295675	2.6595e-06
273	0.00195616	5e-05	0.0152496	0.08	0.000300456	2.66038e-06
274	0.00196896	5e-05	0.0152784	0.08	0.000305282	2.66126e-06
275	0.00198177	5e-05	0.0153072	0.08	0.000310154	2.66215e-06
276	0.00199459	5e-05	0.0153358	0.08	0.000315071	2.66304e-06
277	0.00200742	5e-05	0.0153644	0.08	0.000320034	2.66394e-06
278	0.00202026	5e-05	0.015393	0.08	0.000325042	2.66484e-06
279	0.00203311	5e-05	0.0154214	0.08	0.000330096	2.66575e-06
280	0.00204596	5e-05	0.0154498	0.08	0.000335195	2.66666e-06
281	0.00205882	5e-05	0.0154782	0.08	0.000340339	2.66758e-06
282	0.00207168	5e-05	0.0155065	0.08	0.000345529	2.6685e-06
283	0.00208455	5e-05	0.0155347	0.08	0.000350765	2.66942e-06
284	0.00209743	5e-05	0.0155629	0.08	0.000356046	2.67036e-06
285	0.0021103	5e-05	0.015591	0.08	0.000361372	2.67129e-06
286	0.00212319	5e-05	0.015619	0.08	0.000366743	2.67223e-06
287	0.00213607	5e-05	0.015647	0.08	0.00037216	2.67318e-06
288	0.00214896	5e-05	0.0156749	0.08	0.000377622	2.67413e-06
289	0.00216186	5e-05	0.0157028	0.08	0.00038313	2.67508e-06
290	0.00217475	5e-05	0.0157306	0.08	0.000388682	2.67604e-06
291	0.00218765	5e-05	0.0157583	0.08	0.00039428	2.67701e-06
292	0.00220055	5e-05	0.015786	0.08	0.000399922	2.67798e-06
293	0.00221344	5e-05	0.0158136	0.08	0.00040561	2.67895e-06
294	0.00222634	5e-05	0.0158412	0.08	0.000411342	2.67993e-06
295	0.00223924	5e-05	0.0158687	0.08	0.000417119	2.68091e-06
296	0.00225214	5e-05	0.0158961	0.08	0.000422941	2.6819e-06
297	0.00226503	5e-05	0.0159235	0.08	0.000428808	2.68289e-06
298	0.00227793	5e-05	0.0159509	0.08	0.00043472	2.68389e-06
299	0.00229082	5e-05	0.0159782	0.08	0.000440676	2.6849e-06
300	0.00230371	5e-05	0.0160054	0.08	0.000446676	2.6859e-06
301	0.00231659	5e-05	0.0160325	0.08	0.000452721	2.68691e-06
302	0.00232948	5e-05	0.0160597	0.08	0.00045881	2.68793e-06
303	0.00234236	5e-05	0.0160867	0.08	0.000464943	2.68895e-06
304	0.00235523	5e-05	0.0161137	0.08	0.00047112	2.68998e-06
305	0.0023681	5e-05	0.0161406	0.08	0.000477342	2.69101e-06
306	0.00238097	5e-05	0.0161675	0.08	0.000483607	2.69204e-06
307	0.00239383	5e-05	0.0161944	0.08	0.000489916	2.69308e-06
308	0.00240668	5e-05	0.0162212	0.08	0.000496269	2.69413e-06
309	0.00241953	5e-05	0.0162479	0.08	0.000502665	2.69518e-06
310	0.00243236	5e-05	0.0162746	0.08	0.000509105	2.69623e-06
311	0.0024452	5e-05	0.0163012	0.08	0.000515588	2.69729e-06
312	0.00245802	5e-05	0.0163277	0.08	0.000522114	2.69835e-06
313	0.00247084	5e-05	0.0163543	0.08	0.000528683	2.69942e-06
314	0.00248365	5e-05	0.0163807	0.08	0.000535295	2.70049e-06
315	0.00249645	5e-05	0.0164071	0.08	0.000541951	2.70156e-06
316	0.00250924	5e-05	0.0164335	0.08	0.000548648	2.70264e-06
317	0.00252202	5e-05	0.0164598	0.08	0.000555389	2.70373e-06
318	0.00253479	5e-05	0.016486	0.08	0.000562171	2.70482e-06
319	0.00254754	5e-05	0.0165122	0.08	0.000568996	2.70591e-06
320	0.00256029	5e-05	0.0165384	0.08	0.000575863	2.70701e-06
321	0.00257303	5e-05	0.0165645	0.08	0.000582772	2.70811e-06
322	0.00258576	5e-05	0.0165905	0.08	0.000589723	2.70922e-06
323	0.00259847	5e-05	0.0166165	0.08	0.000596716	2.71033e-06
324	0.00261117	5e-05	0.0166425	0.08	0.00060375	2.71145e-06
325	0.00262386	5e-05	0.0166684	0.08	0.000610825	2.71257e-06
326	0.00263653	5e-05	0.0166943	0.08	0.000617942	2.71369e-06
327	0.00264919	5e-05	0.0167201	0.08	0.0006251	2.71482e-06
328	0.00266184	5e-05	0.0167458	0.08	0.000632298	2.71596e-06
329	0.00267447	5e-05	0.0167715	0.08	0.000639538	2.7171e-06
330	0.00268709	5e-05	0.0167972	0.08	0.000646817	2.71824e-06
331	0.0026997	5e-05	0.0168228	0.08	0.000654137	2.71939e-06
332	0.00271229	5e-05	0.0168483	0.08	0.000661498	2.72054e-06
333	0.00272486	5e-05	0.0168739	0.08	0.000668898	2.72169e-06
334	0.00273741	5e-05	0.0168993	0.08	0.000676338	2.72285e-06
335	0.00274996	5e-05	0.0169247	0.08	0.000683818	2.72402e-06
336	0.00276248	5e-05	0.0169501	0.08	0.000691337	2.72518e-06
337	0.00277499	5e-05	0.0169754	0.08	0.000698896	2.72636e-06
338	0.00278748	5e-05	0.0170007	0.08	0.000706493	2.72753e-06
339	0.00279995	5e-05	0.0170259	0.08	0.00071413	2.72872e-06
340	0.0028124	5e-05	0.0170511	0.08	0.000721805	2.7299e-06
341	0.00282484	5e-05	0.0170763	0.08	0.000729518	2.73109e-06
342	0.00283725	5e-05	0.0171014	0.08	0.00073727	2.73228e-06
343	0.00284965	5e-05	0.0171264	0.08	0.00074506	2.73348e-06
344	0.00286203	5e-05	0.0171514	0.08	0.000752888	2.73468e-06
345	0.00287439	5e-05	0.0171764	0.08	0.000760754	2.73589e-06
346	0.00288673	5e-05	0.0172013	0.08	0.000768657	2.7371e-06
347	0.00289905	5e-05	0.0172262	0.08	0.000776597	2.73832e-06
348	0.00291135	5e-05	0.017251	0.08	0.000784575	2.73953e-06
349	0.00292363	5e-05	0.0172758	0.08	0.000792589	2.74076e-06
350	0.00293589	5e-05	0.0173005	0.08	0.00080064	2.74199e-06
351	0.00294812	5e-05	0.0173252	0.08	0.000808728	2.74322e-06
352	0.00296034	5e-05	0.0173499	0.08	0.000816851	2.74445e-06
353	0.00297253	5e-05	0.0173745	0.08	0.000825011	2.74569e-06
354	0.0029847	5e-05	0.017399	0.08	0.000833206	2.74693e-06
355	0.00299685	5e-05	0.0174236	0.08	0.000841437	2.74818e-06
356	0.00300898	5e-05	0.017448	0.08	0.000849703	2.74943e-06
357	0.00302108	5e-05	0.0174725	0.08	0.000858005	2.75069e-06
358	0.00303316	5e-05	0.0174969	0.08	0.000866341	2.75195e-06
359	0.00304522	5e-05	0.0175212	0.08	0.000874712	2.75321e-06
360	0.00305725	5e-05	0.0175455	0.08	0.000883117	2.75448e-06
